time_ms,adc_raw,voltage_v
0.000,2464,7.545
0.200,2482,7.601
0.400,2484,7.607
0.600,2477,7.585
0.800,2479,7.591
1.000,2465,7.548
1.200,2458,7.527
1.400,2478,7.588
1.600,2490,7.625
1.800,2477,7.585
2.000,2460,7.533
2.200,2442,7.478
2.400,2443,7.481
2.600,2428,7.435
2.800,2426,7.429
3.000,2436,7.460
3.200,2430,7.441
3.400,2444,7.484
3.600,2430,7.441
3.800,2449,7.500
4.000,2435,7.457
4.200,2440,7.472
4.400,2480,7.594
4.600,2450,7.503
4.800,2460,7.533
5.000,2447,7.493
5.200,2432,7.447
5.400,2432,7.447
5.600,2441,7.475
5.800,2430,7.441
6.000,2460,7.533
6.200,2450,7.503
6.400,2433,7.451
6.600,2452,7.509
6.800,2429,7.438
7.000,2423,7.420
7.200,2458,7.527
7.400,2450,7.503
7.600,2440,7.472
7.800,2446,7.490
8.000,2465,7.548
8.200,2432,7.447
8.400,2444,7.484
8.600,2447,7.493
8.800,2441,7.475
9.000,2445,7.487
9.200,2459,7.530
9.400,2440,7.472
9.600,2443,7.481
9.800,2464,7.545
10.000,2462,7.539
10.200,2438,7.466
10.400,2444,7.484
10.600,2462,7.539
10.800,2449,7.500
11.000,2468,7.558
11.200,2427,7.432
11.400,2414,7.392
11.600,2409,7.377
11.800,2440,7.472
12.000,2396,7.337
12.200,2403,7.359
12.400,2414,7.392
12.600,2404,7.362
12.800,2405,7.365
13.000,2434,7.454
13.200,2424,7.423
13.400,2421,7.414
13.600,2441,7.475
13.800,2445,7.487
14.000,2436,7.460
14.200,2436,7.460
14.400,2416,7.398
14.600,2412,7.386
14.800,2434,7.454
15.000,2444,7.484
15.200,2425,7.426
15.400,2434,7.454
15.600,2437,7.463
15.800,2420,7.411
16.000,2436,7.460
16.200,2430,7.441
16.400,2433,7.451
16.600,2453,7.512
16.800,2438,7.466
17.000,2427,7.432
17.200,2444,7.484
17.400,2453,7.512
17.600,2436,7.460
17.800,2458,7.527
18.000,2476,7.582
18.200,2467,7.555
18.400,2468,7.558
18.600,2474,7.576
18.800,2460,7.533
19.000,2470,7.564
19.200,2460,7.533
19.400,2478,7.588
